classification,path,exists,references_total,reason
LEGACY_REVIEW,"tests/institutional/test_p2004a_j_real_regime_discovery_package.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p2005a_j_real_memory_construction_package.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p2006a_j_real_specialist_evolution_package.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/institutional/test_p2007_real_depth_readiness_audit.py",True,0,"test file without app reference"
CONNECTED_SUPPORT,"tests/modules/",True,110,"referenced by app code: 42"
DANGEROUS_TO_TOUCH,"tests/modules/test_p449c_whatsapp_live_hook.py",True,0,"runtime/router/provider/forensic marker"
LEGACY_REVIEW,"tests/modules/test_p449d_eldora_core_hook.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_p449e_supabase_live_hook.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_p449f_drive_live_hook.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_p449g_live_integration_certification.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_ai_feynman_adapter.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_auto_hypothesis_generator.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_automl_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_autonomous_discovery_loop.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_autonomous_pipeline.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_background_service.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_baseline_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_complexity_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_core_backend.py",True,0,"test file without app reference"
ACTIVE_CORE,"tests/modules/test_usde_cross_domain_transfer_learning.py",True,0,"matches cognition/runtime core marker"
LEGACY_REVIEW,"tests/modules/test_usde_dataset_registry.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_decision_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_decision_registry.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_drive_scientific_ingestion.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_eldora_runtime_integration.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_ensemble_evolution_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_evidence_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_evidence_registry.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_experiment_queue.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_experiment_registry.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_experiment_runner.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_full_runtime_certification.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_graph_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_hypothesis_registry.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_information_theory_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_ingestors.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_ledger.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_live_bridge.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_markov_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_meta_learning_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_monte_carlo_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_monte_carlo_service.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_physics_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_red_team_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_red_team_service.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_run_file_route.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_runtime_binding.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_runtime_execute_route.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_runtime_health_monitor.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_runtime_integration_binder.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_runtime_metrics.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_runtime_orchestrator.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_runtime_route.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_scheduler_runtime.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_science_route.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_scientific_evidence_service.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_scientific_governance_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_scientific_knowledge_graph.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_scientific_knowledge_sync.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_scientific_ledger.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_scientific_memory.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_scientific_os.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_scientific_pipeline.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_sindy_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_supabase_scientific_memory.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_symbolic_regression_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_tda_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_test_monitor.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_theorem_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_universal_discovery_runtime.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_walk_forward_engine.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/modules/test_usde_walk_forward_service.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_hierarchical_planner_contract.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_hierarchical_planner_shadow_adapter.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_oversight_contract.py",True,1,"referenced by tests only: 1"
LEGACY_REVIEW,"tests/test_oversight_shadow_adapter.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p10_to_p15_activation_stack.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p122_cloud_export_verification_ledger.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p16a_real_use_case_consumption.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p16b_internal_only_consumption.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p16c_limited_response_awareness.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p16d_response_awareness_quality.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p16e_limited_response_modification.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p16f_response_modification_safety_gate.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p16g_controlled_response_shadow.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p16h_response_shadow_observation.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p17_eldora_value_proof.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p17b_human_review.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p17c_review_decision_aggregation.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p17x_causality_research_runtime.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p18_conversational_execution.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p18b_runtime_hook.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p18c_shadow_diff.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p18d_selection_gate.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p18f_pilot_flags.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p18g_internal_pilot.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p19a_1_improved_conversation.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p19a_3_failure_fixes.py",True,0,"test file without app reference"
DANGEROUS_TO_TOUCH,"tests/test_p19a_whatsapp_real_traffic_eval.py",True,0,"runtime/router/provider/forensic marker"
LEGACY_REVIEW,"tests/test_p19p11_fast_return_bypass.py",True,0,"test file without app reference"
ACTIVE_CORE,"tests/test_p19p16_confinement_domain_interceptor.py",True,0,"matches cognition/runtime core marker"
LEGACY_REVIEW,"tests/test_p19p28k_contextual_fitness.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p19p2_automotive_part_purchase_guard.py",True,0,"test file without app reference"
ACTIVE_CORE,"tests/test_p19p37e_self_reflection_engine.py",True,0,"matches cognition/runtime core marker"
LEGACY_REVIEW,"tests/test_p19p3_safe_runtime_hook.py",True,0,"test file without app reference"
LEGACY_REVIEW,"tests/test_p19p5_automotive_router_correction.py",True,0,"test file without app reference"
DANGEROUS_TO_TOUCH,"tests/test_p19p5_whatsapp_final_guard_only.py",True,0,"runtime/router/provider/forensic marker"
DANGEROUS_TO_TOUCH,"tests/test_p19p6_whatsapp_followup_expansion.py",True,0,"runtime/router/provider/forensic marker"
LEGACY_REVIEW,"tests/test_p19p7_context_memory_followup_expansion.py",True,0,"test file without app reference"
