"trade_id","symbol","entry_action","timeframe","d1_bias","h4_bias","h1_bias","m30_bias","m15_bias","alignment_score","result","pnl","mode","real_orders"
"XAUUSD_D1_EMA_CROSS_9,34_569_636","XAUUSD","BUY","D1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","147.75","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_636_655","XAUUSD","SELL","D1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-58.35","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_655_704","XAUUSD","BUY","D1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","59.56","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_704_744","XAUUSD","SELL","D1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","WIN","17.19","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_744_757","XAUUSD","BUY","D1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-20.07","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_757_778","XAUUSD","SELL","D1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-5.79","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_778_781","XAUUSD","BUY","D1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-23.34","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_781_811","XAUUSD","SELL","D1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-30.69","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_811_879","XAUUSD","BUY","D1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","66.54","PAPER_ONLY","FORBIDDEN"
"XAUUSD_D1_EMA_CROSS_9,34_879_883","XAUUSD","SELL","D1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-22.65","PAPER_ONLY","FORBIDDEN"
