"trade_id","edge_id","symbol","timeframe","strategy","result","pnl","regime","quality","mode","real_orders"
"USDCAD_H1_EMA_CROSS_13,55_180_232","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00028","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_232_337","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","WIN","0.00464","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_337_377","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00153","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_377_384","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.0025","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_384_519","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","WIN","0.01185","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_519_548","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00101","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_548_641","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","WIN","0.00168","NORMAL_TREND","CONFIRMED","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_641_653","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00155","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_653_659","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00092","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_659_664","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00074","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_664_665","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00071","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_665_669","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00089","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_669_681","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00183","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_681_686","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00191","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_686_691","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.00071","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_691_692","USDCAD_H1_EMA_CROSS_13,55","USDCAD","H1","EMA_CROSS","LOSS","-0.0005","CHOPPY_REVERSAL","WEAK","PAPER_ONLY","FORBIDDEN"
