"symbol","timeframe","strategy","params","filter","filter_params","trades","pf","winrate","payoff","maxdd","netprofit","approved"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=14;min=22","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=14;min=18","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=14;min=18","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","ATR_FILTER","atr=14;min_mult=1.5","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=14;min=22","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","ADX_FILTER","adx=21;min=20","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","VOLATILITY_FILTER","range_ma=20;min_ratio=1.0","161","1,2264","40,99","1,7652","0,04486","0,04865","False"
"GBPUSD","M30","EMA_CROSS","fast=9;slow=34","SESSION_FILTER","session=NY","43","1,1742","46,51","1,3503","0,0269","0,01689","False"
"GBPUSD","M30","SMA_CROSS","fast=9;slow=34","SESSION_FILTER","session=NY","43","1,1742","46,51","1,3503","0,0269","0,01689","False"
"EURUSD","M15","EMA_CROSS","fast=13;slow=55","COMBO_FILTER","adx=14;min=18;session=LONDON_NY","48","1,1717","39,58","1,7884","0,01286","0,00983","False"
"EURUSD","M15","EMA_CROSS","fast=13;slow=55","SESSION_FILTER","session=LONDON_NY","48","1,1717","39,58","1,7884","0,01286","0,00983","False"
