"symbol","class","timeframe","strategy","family","params","trades","pf","winrate","maxdd","payoff","netprofit","status"
"USDJPY","FOREX","H1","EMA_CROSS","TREND","fast=8;slow=55","112","1,2452","35,71","1,2642","2,2414","7747","BACKTESTED"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=8;slow=55","112","1,2452","35,71","1,2642","2,2414","7747","BACKTESTED"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=5;slow=144","86","1,2438","30,23","0,3314","2,8704","296","BACKTESTED"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=5;slow=144","86","1,2438","30,23","0,3314","2,8704","296","BACKTESTED"
"EURUSD","FOREX","D1","EMA_CROSS","TREND","fast=9;slow=144","72","1,2428","23,61","1,9585","4,0208","25507","BACKTESTED"
"EURUSD","FOREX","D1","SMA_CROSS","TREND","fast=9;slow=144","72","1,2428","23,61","1,9585","4,0208","25507","BACKTESTED"
"USDCHF","FOREX","M5","EMA_CROSS","TREND","fast=21;slow=144","44","1,2422","31,82","959","2,5731","684","BACKTESTED"
"USDCHF","FOREX","M5","SMA_CROSS","TREND","fast=21;slow=144","44","1,2422","31,82","959","2,5731","684","BACKTESTED"
"USDJPY","FOREX","M15","SMA_CROSS","TREND","fast=13;slow=34","169","1,2398","39,05","0,2021","0,1916","3078","BACKTESTED"
"USDJPY","FOREX","M15","EMA_CROSS","TREND","fast=13;slow=34","169","1,2398","39,05","0,2021","0,1916","3078","BACKTESTED"
"GBPUSD","FOREX","D1","SMA_CROSS","TREND","fast=8;slow=55","134","1,2395","32,84","6,9075","2,5354","44943","BACKTESTED"
"GBPUSD","FOREX","D1","EMA_CROSS","TREND","fast=8;slow=55","134","1,2395","32,84","6,9075","2,5354","44943","BACKTESTED"
"USDCHF","FOREX","H4","SMA_CROSS","TREND","fast=13;slow=144","56","1,2391","28,57","0,8339","3,0978","6526","BACKTESTED"
"USDCHF","FOREX","H4","EMA_CROSS","TREND","fast=13;slow=144","56","1,2391","28,57","0,8339","3,0978","6526","BACKTESTED"
"EURUSD","FOREX","M15","EMA_CROSS","TREND","fast=8;slow=55","114","1,2387","36,84","251","2,0351","1881","BACKTESTED"
"EURUSD","FOREX","M15","SMA_CROSS","TREND","fast=8;slow=55","114","1,2387","36,84","251","2,0351","1881","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=8;slow=21","255","1,2269","38,43","4,6123","1,9655","5158","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=8;slow=21","255","1,2269","38,43","4,6123","1,9655","5158","BACKTESTED"
"GBPUSD","FOREX","M30","EMA_CROSS","TREND","fast=9;slow=34","161","1,2264","40,99","0,4486","1,7652","4865","BACKTESTED"
"GBPUSD","FOREX","M30","SMA_CROSS","TREND","fast=9;slow=34","161","1,2264","40,99","0,4486","1,7652","4865","BACKTESTED"
"USDCHF","FOREX","M15","SMA_CROSS","TREND","fast=9;slow=55","118","1,2255","37,29","0,1548","2,0611","1472","BACKTESTED"
"USDCHF","FOREX","M15","EMA_CROSS","TREND","fast=9;slow=55","118","1,2255","37,29","0,1548","2,0611","1472","BACKTESTED"
"USDCHF","FOREX","M5","SMA_CROSS","TREND","fast=8;slow=144","62","1,2247","25,81","0,1146","3,4444","703","BACKTESTED"
"USDCHF","FOREX","M5","EMA_CROSS","TREND","fast=8;slow=144","62","1,2247","25,81","0,1146","3,4444","703","BACKTESTED"
"EURUSD","FOREX","H4","SMA_CROSS","TREND","fast=13;slow=55","108","1,2128","37,96","0,6448","1,9818","8073","BACKTESTED"
"EURUSD","FOREX","H4","EMA_CROSS","TREND","fast=13;slow=55","108","1,2128","37,96","0,6448","1,9818","8073","BACKTESTED"
"USDCHF","FOREX","H1","SMA_CROSS","TREND","fast=5;slow=144","83","1,2127","31,33","0,4162","2,6586","2332","BACKTESTED"
"USDCHF","FOREX","H1","EMA_CROSS","TREND","fast=5;slow=144","83","1,2127","31,33","0,4162","2,6586","2332","BACKTESTED"
