symbol,timeframe,strategy,params,trades,pf,winrate,payoff,netprofit,tier,dataset,mode,real_orders
UK100,M5,EMA_SCALP,"5,13",743,1.0165,28.53,2.5318,93.5,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
NZDUSD,M2,SMA_SCALP,"13,34",332,1.0133,38.86,1.5788,0.00099,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M2,EMA_SCALP,"13,34",313,1.0101,26.52,2.7989,14.85,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M2,EMA_SCALP,"5,13",779,1.009,25.8,2.9014,121.7,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M2,EMA_SCALP,"13,34",295,1.0027,26.44,2.7894,24.7,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
NZDUSD,M5,SMA_SCALP,"13,34",331,1.0018,36.25,1.7365,0.00022,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M5_raw.csv,PAPER_ONLY,FORBIDDEN
USDJPY,M2,EMA_SCALP,"8,21",478,0.9977,27.41,2.6351,-0.019,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M5,SMA_SCALP,"5,13",848,0.9975,35.97,1.7726,-52.7,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M5_raw.csv,PAPER_ONLY,FORBIDDEN
GER40,M5,EMA_SCALP,"9,21",452,0.9974,28.32,2.5247,-29.0,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_M5_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M2,SMA_SCALP,"9,21",495,0.9953,36.57,1.7211,-55.2,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
USDCHF,M2,EMA_SCALP,"13,34",256,0.9935,31.25,2.136,-0.00042,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US500,M2,SMA_SCALP,"9,21",513,0.9914,35.87,1.7457,-16.2,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_M2_raw.csv,PAPER_ONLY,FORBIDDEN
