symbol,timeframe,strategy,params,trades,pf,winrate,payoff,maxdd,netprofit,tier,status,mode,real_orders,dataset
JP225,D1,SMA_CROSS,"9,34",56,1.4425,25.0,4.3274,19269.0,15899.0,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_D1_raw.csv
XAUUSD,D1,SMA_CROSS,"9,34",56,1.438,28.57,3.5951,684.65,967.85,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_D1_raw.csv
US100,H4,SMA_CROSS,"9,34",86,1.4361,34.88,2.6807,5000.2,7336.43,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_H4_raw.csv
XAUUSD,M30,EMA_CROSS,"13,55",114,1.4307,29.82,3.3664,900.17,1198.16,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M30_raw.csv
NZDUSD,H1,EMA_CROSS,"21,55",76,1.4288,31.58,3.0957,0.037,0.04852,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_H1_raw.csv
GER40,H4,EMA_CROSS,"13,55",68,1.4248,30.88,3.1889,2762.9,4162.1,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GER40_H4_raw.csv
JP225,H4,EMA_CROSS,"13,55",61,1.4233,29.51,3.4001,7801.0,11377.0,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_JP225_H4_raw.csv
USDCAD,H1,SMA_CROSS,"9,34",175,1.4211,38.86,2.2362,0.02168,0.0833,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H1_raw.csv
USDCAD,H4,EMA_CROSS,"21,55",42,1.3932,33.33,2.7865,0.09321,0.06934,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H4_raw.csv
USDCAD,H4,SMA_CROSS,"13,55",56,1.3853,39.29,2.1409,0.09476,0.09354,C,RESEARCH,PAPER_ONLY,FORBIDDEN,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_H4_raw.csv
